Key = vague, Value = 1
Key = juin, Value = 1
Key = de, Value = 5
Key = moi, Value = 1
Key = rouch, Value = 1
Key = ethnologue, Value = 1
Key = adepte, Value = 1
Key = monsieur, Value = 1
Key = ma�tres, Value = 1
Key = du, Value = 3
Key = galerie, Value = 1
Key = cocorico, Value = 1
Key = des, Value = 2
Key = fous, Value = 1
Key = juillet, Value = 1
Key = jean, Value = 1
Key = un, Value = 1
Key = noir, Value = 1
Key = jeu, Value = 1
Key = 31, Value = 1
Key = par, Value = 1
Key = films, Value = 2
Key = membre, Value = 1
Key = paume, Value = 1
Key = nouvelle, Value = 1
Key = en, Value = 1
Key = actif, Value = 1
Key = une, Value = 1
Key = r�trospective, Value = 1
Key = cin�ma-v�rit�, Value = 1
Key = plus, Value = 1
Key = et, Value = 1
Key = auteur, Value = 1
Key = 120, Value = 1
Key = au, Value = 1
Key = poulet, Value = 1
Key = 5, Value = 1
Key = la, Value = 2
Key = nationale, Value = 1
Key = pr�sente, Value = 1
Key = passant, Value = 1
Key = �, Value = 1
Key = jaguar, Value = 1
